Sum of age,Sum of campaign,Sum of cons.conf.idx,Sum of cons.price.idx,contact,day_of_week,default,Sum of duration,education,Sum of emp.var.rate,Sum of euribor3m,housing,job,loan,marital,month,Sum of nr.employed,Sum of pdays,poutcome,Sum of previous,y
25,2,-40.8,92.963,cellular,fri,no,271,university.degree,-2.9,1.268,yes,technician,no,single,jun,5076,3,success,1,no
31,7,-46.2,92.893,cellular,fri,no,1313,university.degree,-1.8,1.25,yes,technician,no,single,may,5099,999,failure,1,yes
102,6,-138.60000000000002,278.679,cellular,fri,no,386,university.degree,-5.4,3.768,yes,technician,no,single,may,15297,2997,nonexistent,0,no
106,3,-126,279.6,cellular,fri,no,681,university.degree,-0.30000000000000004,12.062999999999999,yes,technician,no,single,nov,15588,2997,failure,3,no
23,1,-26.9,92.431,cellular,fri,no,374,university.degree,-3.4,0.73,yes,technician,no,single,oct,5018,999,nonexistent,0,yes
56,5,-75,188.398,cellular,fri,no,457,university.degree,-2.2,1.758,yes,technician,no,single,sep,9928,1014,failure,5,yes
34,4,-37.5,94.199,cellular,fri,no,294,university.degree,-1.1,0.879,yes,technician,no,single,sep,4964,10,success,3,yes
114,7,-108.30000000000001,280.332,cellular,fri,no,720,university.degree,4.199999999999999,14.898,yes,technician,yes,divorced,aug,15684,2997,nonexistent,0,no
68,6,-72.2,186.888,cellular,fri,no,354,university.degree,2.8,9.927,yes,technician,yes,married,aug,10456,1998,nonexistent,0,no
34,3,-42.7,93.918,cellular,fri,no,483,university.degree,1.4,4.962,yes,technician,yes,married,jul,5228,999,nonexistent,0,no
118,7,-138.60000000000002,278.679,cellular,fri,no,542,university.degree,-5.4,3.822,yes,technician,yes,married,may,15297,2997,nonexistent,0,no
41,1,-42,93.2,cellular,fri,no,135,university.degree,-0.1,4.021,yes,technician,yes,married,nov,5196,999,failure,1,no
41,2,-42,93.2,cellular,fri,no,38,university.degree,-0.1,4.021,yes,technician,yes,married,nov,5196,999,nonexistent,0,no
137,13,-144.4,373.776,cellular,fri,no,937,university.degree,5.6,19.858000000000004,yes,technician,yes,single,aug,20912,3996,nonexistent,0,no
31,5,-40.8,92.963,cellular,fri,no,241,university.degree,-2.9,1.224,yes,technician,yes,single,jun,5076,999,nonexistent,0,no
32,5,-46.2,92.893,cellular,fri,no,693,university.degree,-1.8,1.25,yes,technician,yes,single,may,5099,999,failure,1,yes
55,5,-92.4,185.786,cellular,fri,no,388,university.degree,-3.6,2.5,yes,technician,yes,single,may,10198,1998,nonexistent,0,no
29,3,-46.2,92.893,cellular,fri,no,437,university.degree,-1.8,1.25,yes,technician,yes,single,may,5099,999,nonexistent,0,yes
103,4,-126,279.6,cellular,fri,no,1450,university.degree,-0.30000000000000004,12.062999999999999,yes,technician,yes,single,nov,15588,2997,nonexistent,0,no
33,1,-42,93.2,cellular,fri,no,710,university.degree,-0.1,4.021,yes,technician,yes,single,nov,5196,999,nonexistent,0,yes
130,16,-144.4,373.776,cellular,fri,no,586,university.degree,5.6,19.855,yes,unemployed,no,married,aug,20912,3996,nonexistent,0,no
32,2,-42.7,93.918,cellular,fri,no,47,university.degree,1.4,4.963,yes,unemployed,no,married,jul,5228,999,nonexistent,0,no
29,1,-46.2,92.893,cellular,fri,no,317,university.degree,-1.8,1.25,yes,unemployed,no,married,may,5099,999,nonexistent,0,yes
52,7,-42,93.2,cellular,fri,no,211,university.degree,-0.1,4.021,yes,unemployed,no,married,nov,5196,999,failure,1,no
57,1,-42,93.2,cellular,fri,no,48,university.degree,-0.1,4.021,yes,unemployed,no,married,nov,5196,999,nonexistent,0,no
32,1,-31.4,92.201,cellular,fri,no,88,university.degree,-2.9,0.881,yes,unemployed,no,single,aug,5076,999,failure,1,no
37,1,-50,92.843,cellular,fri,no,432,university.degree,-1.8,1.64,yes,unemployed,no,single,mar,5099,999,nonexistent,0,no
68,4,-84,186.4,cellular,fri,no,260,university.degree,-0.2,8.042,yes,unemployed,no,single,nov,10392,1998,nonexistent,0,no
49,5,-42.7,93.918,cellular,fri,no,133,university.degree,1.4,4.957,yes,unemployed,yes,divorced,jul,5228,999,nonexistent,0,no
33,1,-36.1,93.444,cellular,fri,no,78,university.degree,1.4,4.964,yes,unemployed,yes,married,aug,5228,999,nonexistent,0,no
29,1,-46.2,92.893,cellular,fri,no,298,university.degree,-1.8,1.25,yes,unemployed,yes,married,may,5099,999,nonexistent,0,no
57,1,-42,93.2,cellular,fri,no,79,university.degree,-0.1,4.021,yes,unemployed,yes,married,nov,5196,999,failure,1,no
57,1,-42,93.2,cellular,fri,no,59,university.degree,-0.1,4.021,yes,unemployed,yes,married,nov,5196,999,nonexistent,0,no
42,1,-40.3,94.215,cellular,fri,no,513,university.degree,-1.7,0.885,yes,unknown,no,single,jul,4992,999,failure,2,yes
103,3,-94.2,186.15,cellular,fri,no,471,unknown,-3.6,2.81,no,admin.,no,divorced,apr,10198,1998,nonexistent,0,no
42,1,-47.1,93.075,cellular,fri,no,952,unknown,-1.8,1.405,no,admin.,no,married,apr,5099,999,failure,1,yes
42,3,-47.1,93.075,cellular,fri,no,42,unknown,-1.8,1.405,no,admin.,no,married,apr,5099,999,nonexistent,0,no
47,1,-36.1,93.444,cellular,fri,no,252,unknown,1.4,4.964,no,admin.,no,married,aug,5228,999,nonexistent,0,no
44,1,-40.3,94.215,cellular,fri,no,745,unknown,-1.7,0.861,no,admin.,no,married,jul,4992,999,failure,1,yes
44,1,-42.7,93.918,cellular,fri,no,735,unknown,1.4,4.962,no,admin.,no,married,jul,5228,999,nonexistent,0,yes
45,1,-40.8,92.963,cellular,fri,no,155,unknown,-2.9,1.268,no,admin.,no,married,jun,5076,999,nonexistent,0,no
45,2,-40.8,92.963,cellular,fri,no,438,unknown,-2.9,1.268,no,admin.,no,married,jun,5076,999,nonexistent,0,yes
45,1,-46.2,92.893,cellular,fri,no,78,unknown,-1.8,1.259,no,admin.,no,married,may,5099,999,failure,1,no
49,1,-42,93.2,cellular,fri,no,288,unknown,-0.1,4.021,no,admin.,no,married,nov,5196,999,failure,1,no
37,2,-42,93.2,cellular,fri,no,34,unknown,-0.1,4.021,no,admin.,no,married,nov,5196,999,nonexistent,0,no
57,7,-42.7,93.918,cellular,fri,no,137,unknown,1.4,4.962,no,admin.,no,single,jul,5228,999,nonexistent,0,no
39,2,-42,93.2,cellular,fri,no,504,unknown,-0.1,4.021,no,admin.,no,single,nov,5196,999,failure,1,yes
78,6,-84,186.4,cellular,fri,no,261,unknown,-0.2,8.042,no,admin.,no,single,nov,10392,1998,nonexistent,0,no
291,9,-329.70000000000005,651.5250000000001,cellular,fri,no,1178,unknown,-12.600000000000001,9.834999999999999,no,blue-collar,no,married,apr,35693,6993,nonexistent,0,no
36,1,-34.6,93.749,cellular,fri,no,315,unknown,-1.8,0.663,no,blue-collar,no,married,apr,5009,6,success,1,yes
54,1,-36.1,93.444,cellular,fri,no,220,unknown,1.4,4.964,no,blue-collar,no,married,aug,5228,999,nonexistent,0,no
59,2,-42.7,93.918,cellular,fri,no,124,unknown,1.4,4.962,no,blue-collar,no,married,jul,5228,999,nonexistent,0,no
32,2,-46.2,92.893,cellular,fri,no,76,unknown,-1.8,1.25,no,blue-collar,no,married,may,5099,999,nonexistent,0,no
62,3,-49.5,94.601,cellular,fri,no,73,unknown,-1.1,0.972,no,blue-collar,no,married,oct,4964,999,nonexistent,0,no
42,2,-47.1,93.075,cellular,fri,no,54,unknown,-1.8,1.405,no,blue-collar,no,single,apr,5099,999,nonexistent,0,no
34,2,-34.8,93.369,cellular,fri,no,98,unknown,-1.8,0.636,no,blue-collar,no,single,mar,5009,999,nonexistent,0,no
23,2,-46.2,92.893,cellular,fri,no,68,unknown,-1.8,1.25,no,blue-collar,no,single,may,5099,999,failure,1,no
34,1,-42.7,93.918,cellular,fri,no,1000,unknown,1.4,4.962,no,blue-collar,yes,single,jul,5228,999,nonexistent,0,yes
41,1,-46.2,92.893,cellular,fri,no,242,unknown,-1.8,1.25,no,entrepreneur,no,divorced,may,5099,999,nonexistent,0,no
41,2,-46.2,92.893,cellular,fri,no,536,unknown,-1.8,1.25,no,entrepreneur,no,divorced,may,5099,999,nonexistent,0,yes
51,1,-31.4,92.201,cellular,fri,no,273,unknown,-2.9,0.881,no,housemaid,no,married,aug,5076,999,failure,1,yes
55,1,-40.8,92.963,cellular,fri,no,133,unknown,-2.9,1.268,no,housemaid,no,married,jun,5076,999,failure,1,no
24,5,-50,92.843,cellular,fri,no,93,unknown,-1.8,1.574,no,management,no,married,mar,5099,999,nonexistent,0,no
76,1,-29.8,92.379,cellular,fri,no,113,unknown,-3.4,0.803,no,management,no,married,sep,5018,999,nonexistent,0,no
76,1,-29.8,92.379,cellular,fri,no,879,unknown,-3.4,0.803,no,management,no,married,sep,5018,999,nonexistent,0,yes
41,2,-30.1,92.649,cellular,fri,no,129,unknown,-3.4,0.714,no,management,yes,married,nov,5018,3,success,2,yes
289,8,-175.79999999999998,465.97700000000003,cellular,fri,no,574,unknown,2.6999999999999997,20.681,no,retired,no,married,aug,25988,4995,nonexistent,0,no
126,8,-62.8,184.402,cellular,fri,no,424,unknown,-5.8,1.718,no,retired,no,married,aug,10152,1998,nonexistent,0,yes
115,3,-72.2,186.888,cellular,fri,no,203,unknown,2.8,9.927,no,retired,yes,married,aug,10456,1998,nonexistent,0,no
74,2,-34.8,93.369,cellular,fri,no,607,unknown,-1.8,0.653,no,retired,yes,married,mar,5009,999,nonexistent,0,yes
42,2,-47.1,93.075,cellular,fri,no,211,unknown,-1.8,1.405,no,services,no,divorced,apr,5099,999,failure,1,no
114,7,-92.4,185.786,cellular,fri,no,549,unknown,-3.6,2.626,no,services,no,divorced,may,10198,1998,nonexistent,0,no
143,5,-108.30000000000001,280.332,cellular,fri,no,885,unknown,4.199999999999999,14.892000000000001,no,services,no,married,aug,15684,2997,nonexistent,0,no
46,1,-36.1,93.444,cellular,fri,no,739,unknown,1.4,4.964,no,services,no,married,aug,5228,999,nonexistent,0,yes
98,7,-84,186.4,cellular,fri,no,122,unknown,-0.2,8.042,no,services,no,married,nov,10392,1998,nonexistent,0,no
45,1,-47.1,93.075,cellular,fri,no,301,unknown,-1.8,1.405,no,services,no,single,apr,5099,999,nonexistent,0,no
45,1,-47.1,93.075,cellular,fri,no,345,unknown,-1.8,1.405,no,services,no,single,apr,5099,6,success,1,yes
51,3,-36.1,93.444,cellular,fri,no,135,unknown,1.4,4.964,no,services,yes,married,aug,5228,999,nonexistent,0,no
39,7,-81.7,186.824,cellular,fri,no,450,unknown,-3.6,2.068,no,student,no,single,apr,10108,1998,nonexistent,0,no
37,1,-40.8,92.963,cellular,fri,no,99,unknown,-2.9,1.268,no,student,no,single,jun,5076,999,nonexistent,0,no
24,4,-26.9,92.431,cellular,fri,no,114,unknown,-3.4,0.73,no,student,no,single,oct,5018,999,nonexistent,0,no
25,1,-37.5,94.199,cellular,fri,no,732,unknown,-1.1,0.879,no,student,no,single,sep,4964,999,nonexistent,0,yes
37,1,-40.8,92.963,cellular,fri,no,604,unknown,-2.9,1.268,no,student,yes,single,jun,5076,999,nonexistent,0,no
43,1,-40.3,94.215,cellular,fri,no,377,unknown,-1.7,0.861,no,technician,no,divorced,jul,4992,999,failure,1,no
49,3,-47.1,93.075,cellular,fri,no,119,unknown,-1.8,1.405,no,technician,no,married,apr,5099,999,nonexistent,0,no
49,1,-47.1,93.075,cellular,fri,no,378,unknown,-1.8,1.405,no,technician,no,married,apr,5099,999,nonexistent,0,yes
87,10,-85.4,187.836,cellular,fri,no,394,unknown,2.8,9.925,no,technician,no,married,jul,10456,1998,nonexistent,0,no
26,2,-46.2,92.893,cellular,fri,no,264,unknown,-1.8,1.25,no,technician,no,married,may,5099,999,nonexistent,0,no
31,1,-30.1,92.649,cellular,fri,no,498,unknown,-3.4,0.714,no,technician,no,married,nov,5018,999,failure,1,yes
53,1,-42,93.2,cellular,fri,no,138,unknown,-0.1,4.021,no,technician,no,married,nov,5196,999,nonexistent,0,no
62,4,-85.4,187.836,cellular,fri,no,463,unknown,2.8,9.919,no,technician,no,single,jul,10456,1998,nonexistent,0,no
27,4,-46.2,92.893,cellular,fri,no,7,unknown,-1.8,1.25,no,technician,no,single,may,5099,999,nonexistent,0,no
72,2,-84,186.4,cellular,fri,no,244,unknown,-0.2,8.042,no,technician,no,single,nov,10392,1998,nonexistent,0,no
31,6,-46.2,92.893,cellular,fri,no,7,unknown,-1.8,1.25,no,technician,yes,single,may,5099,999,nonexistent,0,no
36,2,-42.7,93.918,cellular,fri,no,295,unknown,1.4,4.962,no,unknown,no,single,jul,5228,999,nonexistent,0,no
31,3,-42.7,93.918,cellular,fri,no,177,unknown,1.4,4.957,unknown,technician,unknown,single,jul,5228,999,nonexistent,0,no
50,1,-47.1,93.075,cellular,fri,no,121,unknown,-1.8,1.479,yes,admin.,no,married,apr,5099,999,nonexistent,0,no
103,6,-72.2,186.888,cellular,fri,no,408,unknown,2.8,9.928,yes,admin.,no,married,aug,10456,1998,nonexistent,0,no
21,3,-42.7,93.918,cellular,fri,no,528,unknown,1.4,4.957,yes,admin.,no,married,jul,5228,999,nonexistent,0,no
30,2,-40.8,92.963,cellular,fri,no,207,unknown,-2.9,1.268,yes,admin.,no,married,jun,5076,4,success,1,yes
45,1,-46.2,92.893,cellular,fri,no,271,unknown,-1.8,1.259,yes,admin.,no,married,may,5099,999,nonexistent,0,yes
85,7,-85.4,187.836,cellular,fri,no,404,unknown,2.8,9.919,yes,admin.,no,single,jul,10456,1998,nonexistent,0,no
32,2,-46.2,92.893,cellular,fri,no,235,unknown,-1.8,1.25,yes,admin.,no,single,may,5099,999,failure,1,no
38,1,-46.2,92.893,cellular,fri,no,191,unknown,-1.8,1.313,yes,admin.,no,single,may,5099,999,nonexistent,0,no
39,4,-42,93.2,cellular,fri,no,79,unknown,-0.1,4.021,yes,admin.,no,single,nov,5196,999,nonexistent,0,no
48,7,-36.1,93.444,cellular,fri,no,246,unknown,1.4,4.964,yes,admin.,yes,married,aug,5228,999,nonexistent,0,no
37,1,-42,93.2,cellular,fri,no,196,unknown,-0.1,4.021,yes,admin.,yes,married,nov,5196,999,nonexistent,0,no
32,7,-46.2,92.893,cellular,fri,no,38,unknown,-1.8,1.25,yes,admin.,yes,single,may,5099,999,failure,1,no
62,2,-85.4,187.836,cellular,fri,no,916,unknown,2.8,9.914,yes,blue-collar,no,divorced,jul,10456,1998,nonexistent,0,no
45,3,-47.1,93.075,cellular,fri,no,666,unknown,-1.8,1.405,yes,blue-collar,no,married,apr,5099,999,failure,1,no
120,6,-128.8,279.899,cellular,fri,no,1502,unknown,-5.4,3.473,yes,blue-collar,no,married,apr,15207,2997,nonexistent,0,no
41,4,-42,93.2,cellular,fri,no,663,unknown,-0.1,4.021,yes,blue-collar,no,married,nov,5196,999,nonexistent,0,yes
42,1,-47.1,93.075,cellular,fri,no,130,unknown,-1.8,1.405,yes,blue-collar,no,single,apr,5099,999,failure,1,no
34,1,-34.8,93.369,cellular,fri,no,360,unknown,-1.8,0.636,yes,blue-collar,no,single,mar,5009,999,failure,1,yes
29,1,-46.2,92.893,cellular,fri,no,61,unknown,-1.8,1.25,yes,blue-collar,no,single,may,5099,999,failure,1,no
45,1,-47.1,93.075,cellular,fri,no,637,unknown,-1.8,1.405,yes,blue-collar,yes,married,apr,5099,999,nonexistent,0,no
39,3,-46.2,92.893,cellular,fri,no,162,unknown,-1.8,1.25,yes,blue-collar,yes,single,may,5099,999,nonexistent,0,no
41,1,-46.2,92.893,cellular,fri,no,317,unknown,-1.8,1.25,yes,entrepreneur,no,divorced,may,5099,999,nonexistent,0,no
54,1,-47.1,93.075,cellular,fri,no,105,unknown,-1.8,1.479,yes,housemaid,no,married,apr,5099,999,failure,1,no
54,1,-47.1,93.075,cellular,fri,no,117,unknown,-1.8,1.479,yes,housemaid,no,married,apr,5099,999,nonexistent,0,yes
137,5,-103.6,279.089,cellular,fri,no,674,unknown,-0.10000000000000009,10.809000000000001,yes,housemaid,no,married,aug,15532,2997,nonexistent,0,no
71,2,-46.2,92.893,cellular,fri,no,122,unknown,-1.8,1.259,yes,housemaid,no,married,may,5099,999,failure,1,no
51,1,-31.4,92.201,cellular,fri,no,268,unknown,-2.9,0.881,yes,housemaid,yes,married,aug,5076,999,nonexistent,0,yes
26,3,-46.2,92.893,cellular,fri,no,140,unknown,-1.8,1.25,yes,housemaid,yes,single,may,5099,999,failure,1,no
34,3,-46.2,92.893,cellular,fri,no,200,unknown,-1.8,1.25,yes,management,no,divorced,may,5099,999,failure,1,no
44,2,-31.4,92.201,cellular,fri,no,247,unknown,-2.9,0.825,yes,management,no,married,aug,5076,999,nonexistent,0,no
77,1,-38.3,94.027,cellular,fri,no,160,unknown,-1.7,0.905,yes,management,no,married,aug,4992,3,success,6,yes
45,2,-42.7,93.918,cellular,fri,no,121,unknown,1.4,4.963,yes,management,no,married,jul,5228,999,nonexistent,0,no
41,5,-46.2,92.893,cellular,fri,no,163,unknown,-1.8,1.25,yes,management,no,married,may,5099,999,failure,1,no
41,1,-40,93.876,cellular,fri,no,588,unknown,-1.8,0.695,yes,management,no,married,may,5009,18,failure,2,yes
63,2,-29.8,92.379,cellular,fri,no,156,unknown,-3.4,0.803,yes,management,no,married,sep,5018,999,failure,2,no
64,3,-31.4,92.201,cellular,fri,no,171,unknown,-2.9,0.849,yes,retired,no,married,aug,5076,999,failure,1,no
59,1,-36.1,93.444,cellular,fri,no,73,unknown,1.4,4.964,yes,retired,no,married,aug,5228,999,nonexistent,0,no
77,1,-30.1,92.649,cellular,fri,no,381,unknown,-3.4,0.714,yes,retired,no,married,nov,5018,999,nonexistent,0,yes
77,1,-30.1,92.649,cellular,fri,no,193,unknown,-3.4,0.714,yes,retired,no,married,nov,5018,3,success,1,yes
83,1,-29.8,92.379,cellular,fri,no,369,unknown,-3.4,0.803,yes,retired,no,married,sep,5018,999,nonexistent,0,no
71,4,-29.8,92.379,cellular,fri,no,658,unknown,-3.4,0.773,yes,retired,no,married,sep,5018,999,nonexistent,0,yes
71,3,-47.1,93.075,cellular,fri,no,188,unknown,-1.8,1.405,yes,retired,no,single,apr,5099,999,nonexistent,0,yes
80,2,-30.1,92.649,cellular,fri,no,186,unknown,-3.4,0.714,yes,retired,yes,divorced,nov,5018,3,success,1,yes
64,1,-31.4,92.201,cellular,fri,no,89,unknown,-2.9,0.849,yes,retired,yes,married,aug,5076,999,failure,1,no
118,3,-72.2,186.888,cellular,fri,no,196,unknown,2.8,9.927,yes,retired,yes,married,aug,10456,1998,nonexistent,0,no
77,3,-40,93.876,cellular,fri,no,318,unknown,-1.8,0.684,yes,retired,yes,married,may,5009,999,nonexistent,0,no
39,1,-42,93.2,cellular,fri,no,163,unknown,-0.1,4.021,yes,services,no,divorced,nov,5196,999,nonexistent,0,no
46,1,-36.1,93.444,cellular,fri,no,134,unknown,1.4,4.964,yes,services,no,married,aug,5228,999,nonexistent,0,no
57,2,-42,93.2,cellular,fri,no,56,unknown,-0.1,4.021,yes,services,no,married,nov,5196,999,failure,1,no
45,4,-47.1,93.075,cellular,fri,no,164,unknown,-1.8,1.405,yes,services,no,single,apr,5099,999,nonexistent,0,yes
32,3,-46.2,92.893,cellular,fri,no,189,unknown,-1.8,1.25,yes,services,no,single,may,5099,999,nonexistent,0,no
46,1,-36.1,93.444,cellular,fri,no,147,unknown,1.4,4.964,yes,services,yes,married,aug,5228,999,nonexistent,0,no
67,9,-141.3,279.225,cellular,fri,no,778,unknown,-5.4,4.215,yes,student,no,single,apr,15297,2997,nonexistent,0,yes
24,1,-31.4,92.201,cellular,fri,no,438,unknown,-2.9,0.849,yes,student,no,single,aug,5076,6,success,1,yes
46,5,-42.7,93.918,cellular,fri,no,587,unknown,1.4,4.962,yes,student,no,single,jul,5228,999,nonexistent,0,no
39,3,-40.8,92.963,cellular,fri,no,474,unknown,-2.9,1.224,yes,student,no,single,jun,5076,999,nonexistent,0,yes
33,2,-42,93.2,cellular,fri,no,353,unknown,-0.1,4.021,yes,student,no,single,nov,5196,999,failure,1,no
54,3,-99,189.202,cellular,fri,no,821,unknown,-2.2,1.944,yes,student,no,single,oct,9928,1019,failure,5,no
24,1,-26.9,92.431,cellular,fri,no,460,unknown,-3.4,0.73,yes,student,no,single,oct,5018,999,nonexistent,0,yes
18,1,-29.8,92.379,cellular,fri,no,563,unknown,-3.4,0.803,yes,student,no,single,sep,5018,999,nonexistent,0,yes
39,6,-81.7,186.824,cellular,fri,no,252,unknown,-3.6,2.068,yes,student,yes,single,apr,10108,1998,nonexistent,0,no
24,1,-31.4,92.201,cellular,fri,no,744,unknown,-2.9,0.849,yes,student,yes,single,aug,5076,3,success,2,yes
62,2,-34.6,93.749,cellular,fri,no,215,unknown,-1.8,0.645,yes,technician,no,married,apr,5009,999,failure,1,no
46,1,-36.1,93.444,cellular,fri,no,70,unknown,1.4,4.963,yes,technician,no,married,aug,5228,999,nonexistent,0,no
122,6,-170.8,375.672,cellular,fri,no,870,unknown,5.6,19.852,yes,technician,no,married,jul,20912,3996,nonexistent,0,no
120,9,-170.8,375.672,cellular,fri,no,860,unknown,5.6,19.848,yes,technician,no,single,jul,20912,3996,nonexistent,0,no
36,7,-42,93.2,cellular,fri,no,254,unknown,-0.1,4.021,yes,technician,no,single,nov,5196,999,nonexistent,0,no
32,2,-42.7,93.918,cellular,fri,no,1973,unknown,1.4,4.963,yes,technician,yes,married,jul,5228,999,nonexistent,0,yes
39,1,-46.2,92.893,cellular,fri,no,171,unknown,-1.8,1.25,yes,technician,yes,married,may,5099,999,failure,1,no
39,1,-46.2,92.893,cellular,fri,no,256,unknown,-1.8,1.25,yes,technician,yes,married,may,5099,12,success,1,no
32,2,-46.2,92.893,cellular,fri,no,157,unknown,-1.8,1.25,yes,technician,yes,single,may,5099,999,failure,1,no
31,1,-40.8,92.963,cellular,fri,no,227,unknown,-2.9,1.268,yes,unemployed,no,divorced,jun,5076,999,nonexistent,0,no
33,2,-37.5,94.199,cellular,fri,no,224,unknown,-1.1,0.879,yes,unemployed,no,single,sep,4964,999,failure,1,yes
72,8,-31.4,92.201,cellular,fri,no,207,unknown,-2.9,0.825,yes,unknown,yes,married,aug,5076,999,failure,1,yes
46,1,-46.2,92.893,cellular,fri,no,136,unknown,-1.8,1.259,yes,unknown,yes,single,may,5099,999,nonexistent,0,no
58,1,-46.2,92.893,cellular,fri,unknown,901,basic.4y,-1.8,1.25,no,admin.,no,married,may,5099,999,nonexistent,0,yes
58,2,-46.2,92.893,cellular,fri,unknown,186,basic.4y,-1.8,1.25,no,admin.,yes,married,may,5099,999,nonexistent,0,no
38,5,-46.2,92.893,cellular,fri,unknown,31,basic.4y,-1.8,1.25,no,blue-collar,no,divorced,may,5099,999,failure,1,no
42,1,-47.1,93.075,cellular,fri,unknown,264,basic.4y,-1.8,1.405,no,blue-collar,no,married,apr,5099,999,failure,1,no
83,3,-94.2,186.15,cellular,fri,unknown,657,basic.4y,-3.6,2.81,no,blue-collar,no,married,apr,10198,1998,nonexistent,0,no
466,18,-324.90000000000003,840.9959999999999,cellular,fri,unknown,1223,basic.4y,12.600000000000001,44.684,no,blue-collar,no,married,aug,47052,8991,nonexistent,0,no
53,1,-36.1,93.444,cellular,fri,unknown,523,basic.4y,1.4,4.966,no,blue-collar,no,married,aug,5228,999,nonexistent,0,yes
472,16,-384.29999999999995,845.2620000000001,cellular,fri,unknown,1190,basic.4y,12.600000000000001,44.639,no,blue-collar,no,married,jul,47052,8991,nonexistent,0,no
88,7,-92.4,185.786,cellular,fri,unknown,98,basic.4y,-3.6,2.5,no,blue-collar,no,married,may,10198,1998,failure,2,no
282,17,-323.4,650.2510000000001,cellular,fri,unknown,2729,basic.4y,-12.600000000000001,9.128,no,blue-collar,no,married,may,35693,6993,nonexistent,0,no
101,5,-84,186.4,cellular,fri,unknown,373,basic.4y,-0.2,8.042,no,blue-collar,no,married,nov,10392,1998,nonexistent,0,no
74,9,-85.4,187.836,cellular,fri,unknown,801,basic.4y,2.8,9.92,no,blue-collar,no,single,jul,10456,1998,nonexistent,0,no
208,24,-170.8,375.672,cellular,fri,unknown,983,basic.4y,5.6,19.848,no,blue-collar,yes,married,jul,20912,3996,nonexistent,0,no
48,1,-42,93.2,cellular,fri,unknown,103,basic.4y,-0.1,4.021,no,blue-collar,yes,married,nov,5196,999,failure,1,no
47,1,-42,93.2,cellular,fri,unknown,105,basic.4y,-0.1,4.021,no,blue-collar,yes,married,nov,5196,999,nonexistent,0,no
36,1,-42.7,93.918,cellular,fri,unknown,300,basic.4y,1.4,4.957,no,housemaid,no,divorced,jul,5228,999,nonexistent,0,no
45,1,-42.7,93.918,cellular,fri,unknown,420,basic.4y,1.4,4.957,no,housemaid,no,divorced,jul,5228,999,nonexistent,0,yes
65,3,-34.8,93.369,cellular,fri,unknown,288,basic.4y,-1.8,0.636,no,housemaid,no,divorced,mar,5009,999,nonexistent,0,yes
107,2,-72.2,186.888,cellular,fri,unknown,340,basic.4y,2.8,9.932,no,housemaid,no,married,aug,10456,1998,nonexistent,0,no
86,4,-85.4,187.836,cellular,fri,unknown,1054,basic.4y,2.8,9.926,no,housemaid,no,married,jul,10456,1998,nonexistent,0,no
46,2,-42.7,93.918,cellular,fri,unknown,1649,basic.4y,1.4,4.963,no,housemaid,no,married,jul,5228,999,nonexistent,0,yes
36,3,-42.7,93.918,cellular,fri,unknown,184,basic.4y,1.4,4.957,no,housemaid,no,single,jul,5228,999,nonexistent,0,no
60,2,-46.2,92.893,cellular,fri,unknown,65,basic.4y,-1.8,1.313,no,management,no,married,may,5099,999,nonexistent,0,no
57,4,-42.7,93.918,cellular,fri,unknown,655,basic.4y,1.4,4.957,no,retired,no,divorced,jul,5228,999,nonexistent,0,yes
49,1,-42.7,93.918,cellular,fri,unknown,802,basic.4y,1.4,4.963,no,retired,no,single,jul,5228,999,nonexistent,0,no
36,9,-42.7,93.918,cellular,fri,unknown,207,basic.4y,1.4,4.957,no,services,no,divorced,jul,5228,999,nonexistent,0,no
45,2,-36.1,93.444,cellular,fri,unknown,117,basic.4y,1.4,4.964,no,services,no,married,aug,5228,999,nonexistent,0,no
44,1,-42.7,93.918,cellular,fri,unknown,226,basic.4y,1.4,4.957,no,services,no,married,jul,5228,999,nonexistent,0,no
40,1,-46.2,92.893,cellular,fri,unknown,308,basic.4y,-1.8,1.313,no,services,no,married,may,5099,999,failure,1,no
40,1,-46.2,92.893,cellular,fri,unknown,139,basic.4y,-1.8,1.313,no,services,no,married,may,5099,999,nonexistent,0,no
44,4,-42.7,93.918,cellular,fri,unknown,127,basic.4y,1.4,4.957,no,services,yes,married,jul,5228,999,nonexistent,0,no
48,1,-42,93.2,cellular,fri,unknown,362,basic.4y,-0.1,4.021,no,technician,no,married,nov,5196,999,nonexistent,0,no
58,3,-42.7,93.918,cellular,fri,unknown,103,basic.4y,1.4,4.962,no,technician,yes,married,jul,5228,999,nonexistent,0,no
50,9,-42.7,93.918,cellular,fri,unknown,356,basic.4y,1.4,4.962,unknown,housemaid,unknown,married,jul,5228,999,nonexistent,0,no
90,2,-85.4,187.836,cellular,fri,unknown,448,basic.4y,2.8,9.914,yes,blue-collar,no,divorced,jul,10456,1998,nonexistent,0,no
127,4,-141.3,279.225,cellular,fri,unknown,1200,basic.4y,-5.4,4.289000000000001,yes,blue-collar,no,married,apr,15297,2997,failure,3,no
123,7,-141.3,279.225,cellular,fri,unknown,737,basic.4y,-5.4,4.215,yes,blue-collar,no,married,apr,15297,2997,nonexistent,0,no
559,19,-397.1000000000001,1027.8839999999998,cellular,fri,unknown,2031,basic.4y,15.400000000000002,54.618,yes,blue-collar,no,married,aug,57508,10989,nonexistent,0,no
